year,month,pressure,absmax,avgmax,avg,avgmin,absmin,avgdewpoint,relhumidity,totalrain,winddic,windspeed
2002,1,1020.2,25.3,20.4,16.7,14.1,7.8,11.6,74,19,360,15.4
2002,2,1020.2,25.5,21.3,17.7,15.4,8.5,13.3,76,3,90,17.5
2002,3,1015.3,28,24.5,20.9,18.8,13.3,17.2,81,129,100,16.7
2002,4,1012.7,31.7,27.5,23.9,21.7,15.8,20.9,84,5.5,100,17.8
2002,5,1008.8,31.7,29.5,26.1,23.9,21.7,23.2,84,125,110,19.9
2002,6,1006.5,33.1,30.7,27.5,25.6,23,25.1,87,143,200,21.2
2002,7,1002.9,33.4,30.7,27.5,25.5,23,25.4,89,241,130,16.5
2003,1,1021.1,24.3,19.7,15.6,12.8,7.2,9.8,70,10,90,18.5
2003,2,1018.5,26.2,21.3,18,16,10.7,14.5,81,7.5,90,14.5
2003,3,1016.9,27.6,21.5,18.6,16.4,9.5,15.4,82,66,90,17.5
2003,4,1012.3,30.5,25.8,23.1,21.3,17.1,20.5,86,66,90,18.6
2003,5,1008.7,31.8,28.6,25.9,24.2,21,23.3,86,200.5,110,20.1
2003,6,1006.2,31.6,29,26.3,24.5,22.8,24.4,90,458.5,190,18.9
2003,7,1008,32.6,31.5,28.1,25.8,25.1,25.3,86,70,200,19
2004,1,1020.4,25,18.9,15.4,12.9,6.2,9.7,70,30,360,19.6
2004,2,1018.5,26.9,20.7,16.8,14.3,6.1,12.6,77,37.5,90,16.3
2004,3,1015.9,26.7,21.7,18.6,16.8,11.7,15.1,81,44,90,17.1
2004,4,1012.8,30.5,25.5,22.3,20.3,15.6,19.6,85,192,90,14.5
2004,5,1009.2,32.2,29.1,25.5,23.2,18.1,23.1,87,135,120,13.7
2004,6,1007.2,35.9,31.2,27.6,25.5,23.7,24.5,84,87.5,110,18.4
2004,7,1007.1,34.3,30.2,27.3,25.3,21.8,25.3,90,254.5,100,20.3
2005,1,1019.8,22.7,19.4,15.3,12.8,4.3,10,73,4,100,16
2005,2,1018,26.1,18.8,15.9,14,7.6,13.5,86,18.5,90,17.8
2005,3,1018.8,25.7,19.8,16.7,14.1,7.2,13.3,81,49,90,16.4
2005,4,1014.4,29.9,25.2,21.9,19.8,13,19.6,87,31.5,100,10.7
2005,5,1008.2,32.2,29,26.1,24.2,20.8,24.3,90,287.5,190,18.8
2005,6,1004.9,32.5,29,26.5,24.7,21.4,25.2,92,692.5,210,20.3
2005,7,1006.8,34.9,30.5,27.5,25.4,23.3,25.5,89,224.5,120,17
2006,1,1018.2,24.6,19.2,16.1,13.9,7,11.9,77,13,360,16.6
2006,2,1019.6,25.7,20.7,17.4,15.3,9.1,13.7,79,33,90,17.5
2006,3,1014.9,25.4,21.2,18.3,16.2,8,15.4,84,46,90,16.7
2006,4,1011.6,31.8,26.6,23.2,21,13.8,20.6,86,78.5,100,16
2006,5,1009.9,32.1,28,25.1,23.1,19,22.9,88,297,190,19.3
2006,6,1006.9,32.3,29.3,26.8,25.2,21.1,25.7,94,278,190,17.3
2006,7,1003.3#,34.1,30.7,28,26.2,23.2,26.5,92,344.5,200,20.5
2007,1,1021.9,25.6,19.7,15.9,13.4,9.6,10.3,71,30.5,360,16.9
2007,2,1017.2,28.3,22.7,19.2,17.2,11,15.7,81,4,90,17.1
2007,3,1014.9,28.8,22.6,19.7,17.9,10,17.6,88,23.5,90,16.4
2007,4,1014.4,29.1,23.8,20.9,18.7,11.9,18.5,87,130,100,16.8
2007,5,1009.6,33,28.3,25.3,23.4,20.8,23.3,89,334.5,110,15.3
2007,6,1006.5,34.2,30.4,27.5,25.7,22.7,26.1,92,383.5,200,16.6
2007,7,1007.3,33.5,32,28.6,26.6,24.1,26.2,87,47,200,17.3
2008,1,1020.2,26.4,18.8,15.4,13.1,7.7,11,77,19,360,16.9
2008,2,1021.7,22,16.3,12.6,10.4,6.4,8,74,18,360,19.4
2008,3,1016.6,28.4,22.9,19.2,17,11,15.5,80,44,100,16
2008,4,1013.1,30.2,24.9,22.3,20.8,16.7,20.5,90,133,100,17.1
2008,5,1009.1,31.6,27.3,24.6,22.6,19.4,22.5,89,116,100,16.7
