year,month,pressure,absmax,avgmax,avg,avgmin,absmin,avgdewpoint,relhumidity,totalrain,winddic,windspeed
2002,1,1021.2,24,15.7,12.7,10.6,2.8,7.8,76,36,70,20.9
2002,2,1021.4,22.7,15.9,13.2,11.3,4.4,10.5,84,10.5,80,24
2002,3,1016.5,24.9,19.4,16.9,15.1,8.2,14.4,87,171.5,80,20.4
2002,4,1013.9,26.7,22.9,19.9,18.2,11.1,18.4,91,32,80,20
2002,5,1010.2,28.5,24.4,22.1,20.7,18.3,20.6,92,387,80,18.9
2002,6,1007.5,29.6,26.3,23.9,22.4,19.2,23.1,96,296.5,160,19.4
2002,7,1004,31.3,26.8,24.4,22.6,20.7,23.4,95,397.5,160,18.1
2002,8,1006.2,31.7,26.7,24.2,22.6,21.1,22.9,93,375.5,80,21.3
2002,9,1010.7,30.5,24.8,22.8,21.2,18.6,20.8,90,860.5,70,23.3
2002,10,1015,27.7,22.3,20.3,18.7,13.2,17.8,88,270.5,70,21.5
2002,11,1019,26.5,19.2,16.6,14.5,10.1,13,81,37,70,23.4
2002,12,1020.7,24,16,13.4,11.3,1.5,12,92,75,70,23.1
2003,1,1022.1,20.5,14.6,11.5,8.9,2.1,8,81,20.5,70,25
2003,2,1019.4,22.6,17.2,14.1,12,6.3,13.2,95,28.5,80,21.6
2003,3,1017.9,25.7,17.2,14.4,12.5,4.4,13.3,93,57,80,24.1
2003,4,1013.2,28.1,21.7,19.6,17.8,12.9,18.8,96,78,80,22.6
2003,5,1009.6,28.4,24.1,22,20.8,16.7,21.2,95,340,80,19.6
2003,6,1007.1,30.5,25.9,23.3,21.6,20,21.9,93,592,160,19
2003,7,1008.9,31.8,28.9,25.2,22.9,21.8,22.9,87,113.5,160,19
2003,8,1006.4,30.8,27.8,24.6,22.6,20.9,23.4,93,375.5,160,16.6
2003,9,1009.7,30.3,25.6,23.3,21.6,19.1,21.6,91,459.5,80,22.5
2003,10,1015.9,27.6,23,20.2,18.2,13.8,16.7,81,34,70,20
2003,11,1017.9,26.3,20,17.3,15.1,7.1,14.5,85,81,70,23.9
2003,12,1022.6,22.9,16.2,12.9,10.1,3.5,6.5,68,0.5,70,22.5
2004,1,1021.3,22.2,13.7,10.9,8.4,1.4,7.7,83,49.5,80,26.3
2004,2,1019.4,23.4,16.2,12.8,10.8,1.9,10,85,55,80,22.8
2004,3,1016.6,23.9,17.4,14.7,12.8,7.1,13.2,92,101.5,80,23.3
2004,4,1013.5,28.5,22.4,19,17,11.6,16.1,91,136,80,21.4
2004,5,1009.7,29.7,25.5,22,20.1,13.6,21,92,179,160,16.2
2004,6,1007.6,33.2,27.1,24,22.3,20.4,22.3,91,116,80,18.1
2004,7,1007.4,33.1,27,24.3,22.5,19.2,23.1,93,410,160,21.9
2004,8,1004.2,32.7,28.5,25,22.8,21.2,23,89,373,160,16.7
2004,9,1010.8,30.8,26.6,23.5,21.6,19.1,20.7,85,105,80,15.9
2004,10,1016.7,29.3,23.2,19.9,17.5,15,14,71,4,70,21.8
2004,11,1019.2,24,19.8,17.4,15.5,10.5,14,82,5,70,22.8
2004,12,1019.9,22.7,16.4,13.7,11.4,1.3,7.4,70,0,70,26.5
2005,1,1020,20.5,14.3,11.2,8.9,-1,7.6,81,8.5,80,20.5
2005,2,1018.1,23.4,14.6,12.3,10.3,2.3,11.5,95,39,80,25.6
2005,3,1018.9,25.9,16,13.1,10.5,2.6,10.6,87,54.5,80,27.6
2005,4,1014.5,26,21.3,18.7,16.8,9.4,17.2,92,57.5,80,19.6
2005,5,1008.3,29.4,24.5,22.6,21.2,18.1,21.9,96,652,160,17.5
2005,6,1005.4,30.4,25.4,23.4,22.1,18.9,22.9,97,1063,170,23
2005,7,1007.7,32.7,28.6,24.8,22.4,20.7,23,91,351.5,160,17.9
2005,8,1006,32,26.4,24,22.3,20.3,23.1,96,948.5,190,23.1
2005,9,1010.3,30.6,26.2,23.8,21.9,19.4,22,91,352,80,25.1
2005,10,1016,30.7,23.9,20.9,18.7,14.2,17.8,83,13.5,70,22.9
2005,11,1017.6,28.4,21.1,18.1,16,9,15.2,84,0.5,80,21
2005,12,1022.1,21.6,14.9,12,9.4,4.6,4.7,66,16.5,350,27.8
2006,1,1019.7,24.3,15.3,12.2,9.8,1.6,9.5,85,21.5,80,22.7
2006,2,1021,23.7,17.1,13.6,11,4.6,11.5,88,41.5,80,23.9
2006,3,1016.4,26,17.4,14.7,12.4,3.3,13.3,92,53,80,26.4
2006,4,1013.1,28.3,22.8,19.8,17.8,9.4,18.7,94,234,170,19.7
2006,5,1011.3,29.4,24.2,21.7,19.8,14.4,20.3,92,453.5,170,23.2
2006,6,1008.2,31.5,25.9,23.9,22.5,17.4,23.2,96,260.5,160,19.4
2006,7,1005.4,32.6,27.4,24.8,23.1,20.4,23.8,94,700,170,20.9
2006,8,1006.6,31.6,27.3,24.3,22.4,20.6,22.8,92,321.5,80,20.4
2006,9,1010.4,31.1,24.9,22.1,20.3,16.4,20.1,89,471.5,70,25.1
2006,10,1015.5,27.6,24,21.4,19.7,17.5,19,88,31,80,17.8
2006,11,1016.1,27.2,21,18.6,16.9,12.6,15.3,84,126.5,70,23.2
2006,12,1021.2,21.3,16.1,13.5,11.1,6.5,8,72,29.5,350,24.8
2007,1,1022.7,19.2,14.3,11.6,9,5,6.3,74,27,70,23.1
2007,2,1018.1,26,17.8,15.2,13.5,7.9,12.1,85,17,80,23.1
2007,3,1015.8,25.6,18.6,15.9,14,5.4,15,95,37.5,80,23.2
2007,4,1015.1,28.1,19.8,17.3,15,7.8,15,89,101.5,350,21.3
2007,5,1010.3,30.9,25.7,22.3,20.3,17.7,19.9,88,314.5,100,18.8
2007,6,1007,31.9,27.2,24.3,22.4,20.5,23.3,95,609.5,210,22.1
2007,7,1007.4,32.4,29.1,25.3,23.2,20.8,23.5,90,100,210,13.6
2007,8,1004.6,31.9,26.6,24.1,22.5,21,23,94,483.5,200,21.1
2007,9,1008.1,30.7,26.1,23.2,21.2,19,20.4,86,88.5,100,23.4
2007,10,1014.4,29.9,23.5,20.6,18.7,16,17.5,84,55.5,90,25
2007,11,1017.8,22.3,18.8,15.7,13.4,8,10.3,73,12.5,90,27.6
2007,12,1018.9,22.6,17.4,14.5,12.4,6,11.1,82,23,100,21.6
2008,1,1020.1,22.4,14.5,11.4,8.8,2.8,8,83,38.5,100,24.4
2008,2,1021.8,19.3,12.3,8.5,5.7,1.9,4.7,79,30.5,90,24.4
2008,3,1016.5,25,19.1,15.7,13.3,7.9,12.1,82,87,100,23.6
2008,4,1013,28,21.5,18.8,17.3,12.8,17.9,95,285.5,100,22.1
2008,5,1009,30,24,21.1,19.2,15.2,19.6,92,259.5,110,19.4
2008,6,1006.8,31.2,25.3,22.9,21.3,19.3,22.3,97,1490,190,19.3
2008,7,1006.7,32.9,27.9,24.7,22.6,20.3,23.1,92,399,180,17.9
2008,8,1006.5,31.2,27.8,24.1,22,19.2,22.5,91,313.5,100,20
2008,9,1008.5,31.8,28,24.5,22.2,19.5,21.7,86,100.5,***,19.7
2008,10,1014.9,28.7,23.4,21.2,19.8,16.8,20,93,143.5,***,23.4
2008,11,1018.6,24.3,19.9,17.1,14.6,6.7,11,72,29.5,***,23.5
2008,12,1020.4,21.8,17,13.8,11.2,4.5,6.8,65,11,***,23.4
2009,1,1022.4,23.1,14.2,10.7,7.8,3.6,3.5,66,0.5,***,22.2
2009,2,1015.9,24.8,19.5,16.4,14.4,10.6,14.6,90,13,110,22.8
2009,3,1015.7,25.7,18.2,15.4,13.3,6.7,14.3,94,142.5,110,25
2009,4,1013.2,28.6,20,17.4,15.5,11.6,15.3,89,131.5,110,28.9
2009,5,1011.5,31,23.7,20.9,18.9,15.6,18.9,90,328,120,22
2009,6,1005.5,31,26.9,23.9,22.2,20.2,22.8,94,628.5,210,18.4
2009,7,1005.8,32.4,28,24.8,22.8,20.4,23.5,93,492.5,200,20.2
2009,8,1005.8,32,29,25.5,23.3,21.1,23.7,91,314,200,14.7
2009,9,1008.3,31.6,27.1,24.2,22.5,20.6,22.5,91,443.5,110,26.7
2009,10,1013.2,27.8,24.5,21.4,19.4,17.8,18.2,84,18.5,110,20.9
2009,11,1018.3,28.4,18.6,15.3,12.9,2.5,11.9,82,62.5,110,25.5
2009,12,1019.9,23.4,15.4,12.6,10.6,3.8,10.2,87,58,110,24.1
2010,1,1021,24,14.8,12.2,10.2,3.8,10.5,91,36.5,110,26.7
2010,2,1017.1,23.7,16.1,13.7,12.2,2.6,13.3,97,115.5,130,24.9
2010,3,1017.3,26.1,19.2,16,13.8,2.3,13.4,87,23,200,24.9
2010,4,1015.2,24.5,19.8,17,14.8,8.3,16.2,95,99,120,27.5
2010,5,1009.5,27.4,23.8,21.5,19.8,16.3,20.6,95,240,120,21.4
2010,6,1008.5,29.7,25.1,22.9,21.4,16.6,22.3,97,519.5,210,21.1
2010,7,1008.9,31.7,28.3,24.9,22.7,20.6,23.6,93,442.5,220,20.1
2010,8,1008.8,32.2,28.2,24.8,22.5,19.7,22.8,90,216,110,16.4
2010,9,1009.7,32.3,26.8,23.8,21.8,19.1,22.2,92,558.5,110,15.5
2010,10,1012.9,27.3,22,19.6,17.7,9.4,16,81,53.5,110,31.6
2010,11,1017.7,23.1,19.7,16.4,14.1,12,13,82,47,100,22.5
2010,12,1016.6,23.7,16.6,13.4,10.6,-0.5,7.1,70,31.5,100,26.7
2011,1,1021.9,18.5,11.6,8.2,5.5,1.3,3.9,76,8,350,24
2011,2,1017.4,24.2,15.9,12.2,9.6,2.4,9.2,84,27.5,100,22.9
2011,3,1019.1,25.5,16.8,13.3,10.6,6.7,9.3,80,31,90,23.8
2011,4,1014.8,28.2,22.6,18.5,16.1,11.3,15.2,84,47.5,100,20
2011,5,1010.2,29.6,24.9,21.5,19.4,15,19.9,92,183,180,17.7
2011,6,1006.3,31.1,27.6,24,22.2,20.3,23,95,611.5,180,20
2011,7,1005.4,31.7,28.2,24.6,22.6,21.7,23.2,93,281,200,18.3
2011,8,1007.2,32.5,29.9,25.4,22.8,21.6,22.8,87,171,180,14.1
2011,9,1008.8,29.9,25.5,22.9,21.1,17.1,21.6,93,152,100,25.2
2011,10,1014.9,26.6,22.4,19.8,18.1,15.8,18,90,253,90,24.9
2011,11,1016.2,24.4,20.6,18.1,16.4,11.4,16,89,128,90,25.4
2011,12,1021.5,21.7,15.1,11.7,9,3.4,5.6,69,3.5,360,26.8
2012,1,1020,22.2,13.1,10.2,8.1,1.3,9,93,50,100,23.4
2012,2,1017.5,19.9,13.8,11.4,9.1,4.4,10.8,96,46,100,26.2
2012,3,1016.3,27,17.9,14.8,12.6,6.5,13.1,91,37.5,100,27.6
2012,4,1012.1,28,22.3,19.6,17.8,12.7,18.8,95,371,100,23
2012,5,1008.5,30.2,24.9,22.5,21.2,18.8,22,97,398.5,100,22.3
2012,6,1003.5,30.8,25.7,23.4,22,19.3,22.7,96,371,100,23.6
2012,7,1005.5,32.9,27.5,24.3,22.4,20.5,23.1,94,564.5,180,19.9
2012,8,1004.3,32.9,29.1,25.2,22.8,21,23,89,16,200,16.4
2012,9,1011.3,29.4,25.9,22.9,21,18,20.4,87,1,100,20.3
2012,10,1015.3,26.7,22.9,20,18.4,13.3,17.9,88,47,100,22.4
2012,11,1016.3,25.1,19.8,17.3,15.5,9.8,16.1,93,71.5,100,25.6
2012,12,1018.9,24.8,15.4,12.8,10.5,0.8,10.9,89,63,100,28.1
2013,1,1021.1,22.4,15.4,12.1,9.6,4.5,8.6,80,4,100,19.6
2013,2,1019.2,24.3,17.7,14.2,12.2,6.2,13.1,94,12,100,21.9
2013,3,1016.2,25.8,20.2,16.6,14.2,6.8,13.9,87,143.5,100,21.9
